"FOAFGroup"|"foafGroupName"|"FOAFPerson"|"foafPersonName"|"foafPersonHomepage"|"foafPersonMember"|"BIBOJournal"|"BIBOJournalName"|"BIBOJournalISSN"|"BIBTEXArticle"|"BIBTEXArticleHasAuthor"|"BIBTEXArticleTitle"|"BIBTEXArticleHasJournal"|"BIBTEXArticleHasVolume"|"BIBTEXArticleHasNumber"|"BIBTEXArticleHasPages"|"BIBTEXArticleHasYear"|"DCContributor"
"FOAFGroup_DETUR_I"|"DETUR/I"|"FOAFPerson_1834607520455691"|"POLIANA FABÍULA CARDOZO"|"http://lattes.cnpq.br/1834607520455691"|"FOAFGroup_DETUR_I"|"Journal_2316-5952"|"Caderno de Estudos e Pesquisas do Turismo"|"2316-5952"|"BIBTEXArticle_&amp;#65279;TURISMO_DE_EXPERIÊNCIA:_UMA_POSSIBILIDADE_NOS_ATRATIVOS_TURÍSTICOS_DA_USINA_HIDRELÉTRICA_DE_ITAIPU_EM_FOZ_DO_IGUAÇU_?_PR2316-59522014"|"FARIAS, A. P., CARDOZO, Poliana;CARDOZO, POLIANA FABIULA"|"&amp;#65279;TURISMO DE EXPERIÊNCIA: UMA POSSIBILIDADE NOS ATRATIVOS TURÍSTICOS DA USINA HIDRELÉTRICA DE ITAIPU EM FOZ DO IGUAÇU ? PR"|"Journal_2316-5952"|"3"|"3"|"204-2015"|"2014"|"FOAFPerson_1834607520455691"
"FOAFGroup_DEFAR_G"|"DEFAR/G"|"FOAFPerson_8578241611510102"|"NAJEH MAISSAR KHALIL"|"http://lattes.cnpq.br/8578241611510102"|"FOAFGroup_DEFAR_G"|"Journal_1808-4532"|"Revista de Ciências Farmacêuticas Básica e Aplicada"|"1808-4532"|"BIBTEXArticle_&amp;#65532;NUTRITIONAL_STATUS_AND_FOOD_INTAKE_OF_BRAZILIAN_PATIENTS_IN_THE_&amp;#65532;DIFFERENT_STAGES_OF_ALZHEIMER_S_DISEASE:_A_CROSS_SECTIONAL_STUDY1808-45322014"|"GOES, V. F., HORS, J. A. E., ALMEIDA, J. C., SILVA, W. C. F. N., KHALIL, NAJEH MAISSAR, BONINI, J. S."|"&amp;#65532;NUTRITIONAL STATUS AND FOOD INTAKE OF BRAZILIAN PATIENTS IN THE &amp;#65532;DIFFERENT STAGES OF ALZHEIMER S DISEASE: A CROSS SECTIONAL STUDY"|"Journal_1808-4532"|"35"|""|"211-215"|"2014"|"FOAFPerson_8578241611510102"
"FOAFGroup_DEAGRO_G"|"DEAGRO/G"|"FOAFPerson_4913331884134387"|"LILIAN YUKARI YAMAMOTO"|"http://lattes.cnpq.br/4913331884134387"|"FOAFGroup_DEAGRO_G"|"Journal_0100-2945"|"Revista Brasileira de Fruticultura (Impresso)"|"0100-2945"|"BIBTEXArticle_&amp;apos;Black_star&amp;apos;:_uma_mutação_somática_natural_da_uva_fina_de_mesa_cv._Brasil0100-29452012"|"ROBERTO, S. R., Roberto, Sergio Ruffo, ASSIS, Adriane Marinho de, GENTA, Werner, YAMAMOTO, L. Y.;Yamamoto, Lilian Yukari;Yamamotoi, Lilian Yukari, SATO, Alessandro Jefferson"|"&amp;apos;Black star&amp;apos;: uma mutação somática natural da uva fina de mesa cv. Brasil"|"Journal_0100-2945"|"34"|"3"|"947-950"|"2012"|"FOAFPerson_4913331884134387"
"FOAFGroup_DEVET_G"|"DEVET/G"|"FOAFPerson_3501830648806376"|"JAYME AUGUSTO PERES"|"http://lattes.cnpq.br/3501830648806376"|"FOAFGroup_DEVET_G"|"Journal_2175-7925"|"Biotemas"|"2175-7925"|"BIBTEXArticle_&amp;lt;b&amp;gt;Biometria,_histologia_e_morfometria_do_sistema_digestÃ_rio_do_cachorro-do-mato_(Cerdocyon_thous)_de_vida_livre&amp;lt;/b&amp;gt;&amp;lt;br&amp;gt;DOI:10.5007/2175-7925.2011v24n4p1112175-79252011"|"HELENO, A. R., SANTOS, L. M., MIGLINO, M. A., PERES, J. A., GUERRA, R. R."|"&amp;lt;b&amp;gt;Biometria, histologia e morfometria do sistema digestÃ rio do cachorro-do-mato (Cerdocyon thous) de vida livre&amp;lt;/b&amp;gt;&amp;lt;br&amp;gt;DOI:10.5007/2175-7925.2011v24n4p111"|"Journal_2175-7925"|"24"|"4"|"111-119"|"2011"|"FOAFPerson_3501830648806376"
"FOAFGroup_DEPSI_I"|"DEPSI/I"|"FOAFPerson_0900580518880314"|"GUSTAVO ZAMBENEDETTI"|"http://lattes.cnpq.br/0900580518880314"|"FOAFGroup_DEPSI_I"|"Journal_1984-0292"|"Fractal: Revista de Psicologia"|"1984-0292"|"BIBTEXArticle_&amp;quot;A_via_que_facilita_é_a_mesma_que_dificulta&amp;quot;:_estigma_e_atenção_em_HIV-Aids_na_estratégia_saúde_da_família_-_ESF1984-02922013"|"ZAMBENEDETTI, GUSTAVO, BOTH, NALU SILVANA"|"&amp;quot;A via que facilita é a mesma que dificulta&amp;quot;: estigma e atenção em HIV-Aids na estratégia saúde da família - ESF"|"Journal_1984-0292"|"25"|"1"|"41-58"|"2013"|"FOAFPerson_0900580518880314"
"FOAFGroup_DEDUF_G"|"DEDUF/G"|"FOAFPerson_6567883239960466"|"MARCOS ROBERTO QUEIROGA"|"http://lattes.cnpq.br/6567883239960466"|"FOAFGroup_DEDUF_G"|"Journal_1807-8648"|"Acta Scientiarum. Health Sciences (Online)"|"1807-8648"|"BIBTEXArticle_&lt;b&gt;_Workplace_physical_exercises,_obesity_anthropometric_indexes,_blood_pressure_and_static_muscle_strength_&lt;/b&gt;1807-86482014"|"QUEIROGA, M.R., CABRAL LL, Da SILVA, C.G, FERREIRA, S.A, CAVAZZOTTO, T.G."|"&lt;b&gt; Workplace physical exercises, obesity anthropometric indexes, blood pressure and static muscle strength &lt;/b&gt;"|"Journal_1807-8648"|"36"|"1"|"65-"|"2014"|"FOAFPerson_6567883239960466"
"FOAFGroup_DEADM_G"|"DEADM/G"|"FOAFPerson_3425324573936051"|"AROLDO MESSIAS DE MELO JÚNIOR"|"http://lattes.cnpq.br/3425324573936051"|"FOAFGroup_DEADM_G"|"Journal_2178-5201"|"Acta Scientiarum. Education (Online)"|"2178-5201"|"BIBTEXArticle_&lt;b&gt;Despesas_com_manutenção_e_desenvolvimento_da_educação_superior_no_estado_do_Paraná:_um_estudo_comparativo_do_período_de2003_a2010&lt;/b&gt;2178-52012014"|"REIS, LUIZ FERNANDO, MELO JUNIOR, AROLDO MESSIAS DE"|"&lt;b&gt;Despesas com manutenção e desenvolvimento da educação superior no estado do Paraná: um estudo comparativo do período de2003 a2010&lt;/b&gt;"|"Journal_2178-5201"|"36"|"2"|"297-"|"2014"|"FOAFPerson_3425324573936051"
"FOAFGroup_DEGEO_G"|"DEGEO/G"|"FOAFPerson_4660243356517448"|"EDIVALDO LOPES THOMAZ"|"http://lattes.cnpq.br/4660243356517448"|"FOAFGroup_DEGEO_G"|"Journal_1807-8664"|"Acta Scientiarum. Technology (Online)"|"1807-8664"|"BIBTEXArticle_&lt;b&gt;Performance_assessment_of_a_microsprinkler&lt;b&gt;&lt;/b&gt;&lt;/b&gt;1807-86642014"|"THOMAZ, E. L., PEREIRA, A. A."|"&lt;b&gt;Performance assessment of a microsprinkler&lt;b&gt;&lt;/b&gt;&lt;/b&gt;"|"Journal_1807-8664"|"36"|"2"|"315-321"|"2014"|"FOAFPerson_4660243356517448"
"FOAFGroup_DEGEO_G"|"DEGEO/G"|"FOAFPerson_6294454738380009"|"ADALBERTO ALVES PEREIRA"|"http://lattes.cnpq.br/6294454738380009"|"FOAFGroup_DEGEO_G"|"Journal_1807-8664"|"Acta Scientiarum. Technology (Online)"|"1807-8664"|"BIBTEXArticle_&lt;b&gt;Performance_assessment_of_a_microsprinkler&lt;b&gt;&lt;/b&gt;&lt;/b&gt;1807-86642014"|"PEREIRA, A. A., THOMAZ, E. L."|"&lt;b&gt;Performance assessment of a microsprinkler&lt;b&gt;&lt;/b&gt;&lt;/b&gt;"|"Journal_1807-8664"|"36"|"2"|"315-"|"2014"|"FOAFPerson_6294454738380009"
"FOAFGroup_DEBIO_G"|"DEBIO/G"|"FOAFPerson_1289646338155108"|"ADRIANA KNOB"|"http://lattes.cnpq.br/1289646338155108"|"FOAFGroup_DEBIO_G"|"Journal_1679-9283"|"Acta Scientiarum. Biological Sciences (Impresso)"|"1679-9283"|"BIBTEXArticle_&lt;b&gt;Production_of_xylanases_by_an_&lt;i&gt;Aspergillus_niger&lt;/i&gt;_strain_in_wastes_grain&lt;/b&gt;1679-92832014"|"IZIDORO, S. C., KNOB, A."|"&lt;b&gt;Production of xylanases by an &lt;i&gt;Aspergillus niger&lt;/i&gt; strain in wastes grain&lt;/b&gt;"|"Journal_1679-9283"|"36"|"3"|"313-"|"2014"|"FOAFPerson_1289646338155108"
