"Evaluation","Journal","issnJournal","nameJournal","KnowledgeField","idKnowledgeField","nameKnowledgeField","YearEvaluation","yearIndex","Qualis","qualisIndex"
"Journal_2238-0272_KnowledgeField_31_YearEvaluation_2014_Qualis_C","Journal_2238-0272","2238-0272","#10.art","KnowledgeField_31","31","CIÊNCIAS SOCIAIS APLICADAS I","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_2238-0272_KnowledgeField_45_YearEvaluation_2014_Qualis_C","Journal_2238-0272","2238-0272","#10.art","KnowledgeField_45","45","INTERDISCIPLINAR","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_2013-0864_KnowledgeField_35_YearEvaluation_2014_Qualis_B4","Journal_2013-0864","2013-0864","(Con)Textos (Barcelona)","KnowledgeField_35","35","ANTROPOLOGIA / ARQUEOLOGIA","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_2013-0864_KnowledgeField_37_YearEvaluation_2014_Qualis_B5","Journal_2013-0864","2013-0864","(Con)Textos (Barcelona)","KnowledgeField_37","37","PSICOLOGIA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1981-4607_KnowledgeField_25_YearEvaluation_2014_Qualis_C","Journal_1981-4607","1981-4607","(In)Finito & Diferença","KnowledgeField_25","25","CIÊNCIA DE ALIMENTOS","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1981-4607_KnowledgeField_41_YearEvaluation_2014_Qualis_C","Journal_1981-4607","1981-4607","(In)Finito & Diferença","KnowledgeField_41","41","LETRAS / LINGUÍSTICA","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1981-4607_KnowledgeField_42_YearEvaluation_2014_Qualis_C","Journal_1981-4607","1981-4607","(In)Finito & Diferença","KnowledgeField_42","42","CIÊNCIAS AGRÁRIAS I","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1981-4607_KnowledgeField_45_YearEvaluation_2014_Qualis_C","Journal_1981-4607","1981-4607","(In)Finito & Diferença","KnowledgeField_45","45","INTERDISCIPLINAR","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_2177-5141_KnowledgeField_41_YearEvaluation_2014_Qualis_B5","Journal_2177-5141","2177-5141","(n.t.) Revista Literária em Tradução","KnowledgeField_41","41","LETRAS / LINGUÍSTICA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_2237-5953_KnowledgeField_26_YearEvaluation_2014_Qualis_B5","Journal_2237-5953","2237-5953","(Re) Pensando Direito","KnowledgeField_26","26","DIREITO","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_2237-5953_KnowledgeField_38_YearEvaluation_2014_Qualis_C","Journal_2237-5953","2237-5953","(Re) Pensando Direito","KnowledgeField_38","38","EDUCAÇÃO","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_2237-5953_KnowledgeField_45_YearEvaluation_2014_Qualis_C","Journal_2237-5953","2237-5953","(Re) Pensando Direito","KnowledgeField_45","45","INTERDISCIPLINAR","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1414-915X_KnowledgeField_4_YearEvaluation_2014_Qualis_C","Journal_1414-915X","1414-915X","(Syn)Thesis (Rio de Janeiro)","KnowledgeField_4","4","QUÍMICA","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1414-915X_KnowledgeField_26_YearEvaluation_2014_Qualis_C","Journal_1414-915X","1414-915X","(Syn)Thesis (Rio de Janeiro)","KnowledgeField_26","26","DIREITO","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1414-915X_KnowledgeField_28_YearEvaluation_2014_Qualis_C","Journal_1414-915X","1414-915X","(Syn)Thesis (Rio de Janeiro)","KnowledgeField_28","28","ECONOMIA","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1414-915X_KnowledgeField_32_YearEvaluation_2014_Qualis_C","Journal_1414-915X","1414-915X","(Syn)Thesis (Rio de Janeiro)","KnowledgeField_32","32","SERVIÇO SOCIAL","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1414-915X_KnowledgeField_39_YearEvaluation_2014_Qualis_C","Journal_1414-915X","1414-915X","(Syn)Thesis (Rio de Janeiro)","KnowledgeField_39","39","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS","YearEvaluation_2014","2014","Qualis_C","C"
